Rank,Player,Nation,Position,Squad,Competition,Age,Year_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A
89,Julian Alvarez,ar ARG,"MF,FW",Manchester City,eng Premier League,23,2000,36,31,2647,29.4,11,8,19
90,Yeray Alvarez,es ESP,DF,Athletic Club,es La Liga,28,1995,19,14,1152,12.8,0,0,0
91,Skelly Alvero,fr FRA,MF,Lyon,fr Ligue 1,21,2002,8,6,426,4.7,1,0,1
92,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,21,2002,6,1,123,1.4,1,0,1
93,Papa Amadou Diallo,sn SEN,FW,Metz,fr Ligue 1,19,2004,16,9,889,9.9,2,1,3
94,Selim Amallah,ma MAR,"FW,MF",Valencia,es La Liga,26,1996,20,7,604,6.7,0,1,1
95,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,27,1996,15,3,394,4.4,0,0,0
96,Lorenzo Amatucci,it ITA,MF,Fiorentina,it Serie A,19,2004,2,0,22,0.2,0,0,0
97,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,29,1994,2,1,91,1,1,0,1
98,Zeki Amdouni,ch SUI,FW,Burnley,eng Premier League,22,2000,34,27,1953,21.7,5,1,6
99,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,25,1998,12,11,798,8.9,0,1,1
100,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21,2002,10,7,579,6.4,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
101,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,27,1996,16,10,997,11.1,3,2,5
102,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,26,1996,15,15,1315,14.6,1,4,5
103,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,26,1996,8,1,86,1,0,0,0
104,Kofi Amoako,de GER,MF,Wolfsburg,de Bundesliga,18,2005,2,0,2,0,0,0,0
105,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,eng Premier League,26,1996,21,10,938,10.4,0,0,0
106,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,27,1996,38,38,3415,37.9,2,3,5
107,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,20,2002,21,10,1027,11.4,0,2,2
108,Felipe Anderson,br BRA,"FW,MF",Lazio,it Serie A,30,1993,38,33,2770,30.8,5,6,11
109,Benjamin Andre,fr FRA,MF,Lille,fr Ligue 1,32,1990,30,29,2570,28.6,4,0,4
110,Komnen Andric,rs SRB,FW,Clermont Foot,fr Ligue 1,28,1995,7,1,169,1.9,0,0,0
111,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,28,1994,28,18,1690,18.8,4,2,6
112,Miguel Angel Rubio,es ESP,DF,Granada,es La Liga,25,1998,19,17,1560,17.3,1,0,1
113,Angelino,es ESP,DF,Roma,it Serie A,26,1997,16,14,1141,12.7,0,1,1
114,Fabrizio Angileri,ar ARG,"DF,MF",Getafe,es La Liga,29,1994,11,2,164,1.8,0,0,0
115,Jaidon Anthony,eng ENG,FW,Bournemouth,eng Premier League,23,1999,3,2,152,1.7,0,0,0
116,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,27,1996,33,32,2886,32.1,0,3,3
117,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33,1990,26,21,1695,18.8,6,2,8
118,Antony,br BRA,FW,Manchester Utd,eng Premier League,23,2000,29,15,1324,14.7,1,1,2
119,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,29,1994,25,11,1216,13.5,2,2,4
120,Houssem Aouar,dz ALG,"MF,FW",Roma,it Serie A,25,1998,16,9,756,8.4,4,0,4
121,Stredair Appuah,fr FRA,"FW,MF",Nantes,fr Ligue 1,19,2004,4,0,84,0.9,0,0,0
122,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,27,1995,7,3,339,3.8,0,0,0
123,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,21,2002,11,5,543,6,0,0,0
124,Asaf Arania,il ISR,MF,Darmstadt 98,de Bundesliga,17,2005,1,0,6,0.1,0,0,0
125,Julian Araujo,mx MEX,DF,Las Palmas,es La Liga,21,2001,25,15,1462,16.2,1,0,1
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
126,Ronald Araujo,uy URU,DF,Barcelona,es La Liga,24,1999,25,21,1997,22.2,1,2,3
127,Oliver Arblaster,eng ENG,MF,Sheffield Utd,eng Premier League,19,2004,12,11,943,10.5,0,0,0
128,Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,22,2001,29,21,1832,20.4,4,1,5
129,Cameron Archer,eng ENG,MF,Aston Villa,eng Premier League,22,2001,1,0,6,0.1,0,0,0
130,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30,1993,31,31,2699,30,0,0,0
131,Adu Ares,es ESP,FW,Athletic Club,es La Liga,21,2001,12,2,265,2.9,0,0,0
132,Jesus Areso,es ESP,DF,Osasuna,es La Liga,24,1999,37,29,2660,29.6,1,6,7
133,Simone Aresti,it ITA,GK,Cagliari,it Serie A,37,1986,1,0,1,0,0,0,0
134,Matias Arezo,uy URU,FW,Granada,es La Liga,20,2002,14,3,369,4.1,0,0,0
135,Inigo Arguibide,es ESP,DF,Osasuna,es La Liga,18,2005,1,0,17,0.2,0,0,0
136,Yoel Armougom,fr FRA,"DF,MF",Clermont Foot,fr Ligue 1,25,1998,5,2,234,2.6,0,0,0
137,Jose Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,28,1995,26,9,929,10.3,2,1,3
138,Hakon Arnar Haraldsson,is ISL,"FW,MF",Lille,fr Ligue 1,20,2003,26,15,1284,14.3,2,0,2
139,Marko Arnautovic,at AUT,FW,Inter,it Serie A,34,1989,27,5,801,8.9,5,3,8
140,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,29,1994,30,27,2506,27.8,2,1,3
141,Mohamed El Arouch,fr FRA,FW,Lyon,fr Ligue 1,19,2004,1,0,2,0,0,0,0
142,Sergio Arribas,es ESP,"MF,FW",Almeria,es La Liga,21,2001,34,22,2047,22.7,9,4,13
143,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,28,1994,14,13,1198,13.3,0,0,0
144,Arthur,br BRA,DF,Leverkusen,de Bundesliga,20,2003,4,2,184,2,0,2,2
145,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,28,1994,29,26,1986,22.1,6,1,7
146,Marco Asensio,es ESP,"MF,FW",Paris S-G,fr Ligue 1,27,1996,19,13,1113,12.4,4,5,9
147,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21,2002,23,6,787,8.7,1,2,3
148,Joel Asoro,se SWE,"FW,MF",Metz,fr Ligue 1,24,1999,20,10,848,9.4,2,1,3
149,Jonathan Asp Jensen,dk DEN,FW,Bayern Munich,de Bundesliga,17,2006,1,0,1,0,0,0,0
150,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,35,1987,35,31,2707,30.1,9,10,19
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
151,Lorenz Assignon,tg TOG,DF,Burnley,eng Premier League,23,2000,15,15,1234,13.7,1,2,3
152,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,23,2000,14,12,1011,11.2,1,1,2
153,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,27,1996,6,5,359,4,1,0,1
154,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,17,2005,15,7,555,6.2,0,0,0
155,Arthur Atta,fr FRA,"MF,FW",Metz,fr Ligue 1,20,2003,21,10,924,10.3,1,2,3
156,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21,2002,34,34,3060,34,0,0,0
157,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,34,1989,34,30,2622,29.1,17,8,25
158,Emil Audero,it ITA,GK,Inter,it Serie A,26,1997,4,4,337,3.7,0,0,0
159,Tommaso Augello,it ITA,DF,Cagliari,it Serie A,28,1994,32,28,2418,26.9,1,1,2
160,Carlos Augusto,br BRA,DF,Inter,it Serie A,24,1999,37,14,1725,19.2,0,3,3
161,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,22,2000,16,9,904,10,2,0,2
162,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,eng Premier League,30,1992,12,10,833,9.3,0,2,2
163,Ezequiel Avila,ar ARG,"FW,MF",Osasuna,es La Liga,29,1994,17,10,864,9.6,1,3,4
164,Ezequiel Avila,ar ARG,FW,Betis,es La Liga,29,1994,6,4,298,3.3,1,0,1
165,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,25,1997,20,12,1042,11.6,6,3,9
166,Andre Ayew,gh GHA,FW,Le Havre,fr Ligue 1,33,1989,19,12,1104,12.3,5,0,5
167,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,31,1991,35,30,2543,28.3,4,7,11
168,Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,22,2001,25,17,1566,17.4,1,2,3
169,Sardar Azmoun,ir IRN,"FW,MF",Roma,it Serie A,28,1995,23,3,585,6.5,3,0,3
170,Cesar Azpilicueta,es ESP,DF,Atletico Madrid,es La Liga,33,1989,25,14,1423,15.8,0,2,2
171,Paulo Azzi,br BRA,"DF,MF",Cagliari,it Serie A,29,1994,25,9,950,10.6,0,0,0
172,Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,22,2001,18,5,547,6.1,2,2,4
173,Abdellah Baallal,ma MAR,MF,Clermont Foot,fr Ligue 1,18,2004,1,0,4,0,0,0,0
174,Iddrisu Baba,gh GHA,MF,Almeria,es La Liga,27,1996,25,14,1430,15.9,0,0,0
175,Sran Babic,rs SRB,DF,Almeria,es La Liga,27,1996,1,1,90,1,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
176,Shavy Babicka,ga GAB,"FW,MF",Toulouse,fr Ligue 1,23,2000,12,4,373,4.1,1,0,1
177,Aliou Badara Balde,gn GUI,"FW,DF",Nice,fr Ligue 1,20,2002,7,0,69,0.8,0,0,0
178,Loic Bade,fr FRA,DF,Sevilla,es La Liga,23,2000,28,27,2277,25.3,0,1,1
179,Milan Badelj,hr CRO,MF,Genoa,it Serie A,34,1989,33,32,2535,28.2,1,3,4
180,Matthias Bader,de GER,"DF,MF",Darmstadt 98,de Bundesliga,26,1997,24,21,1802,20,1,2,3
181,Benoit Badiashile,fr FRA,DF,Chelsea,eng Premier League,22,2001,18,15,1338,14.9,0,1,1
182,Alex Baena,es ESP,"MF,FW",Villarreal,es La Liga,22,2001,34,33,2579,28.7,2,14,16
183,Jaime Baez,uy URU,"FW,MF",Frosinone,it Serie A,28,1995,11,6,500,5.6,1,0,1
184,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,19,2004,1,0,5,0.1,0,0,0
185,Leon Bailey,jm JAM,"MF,FW",Aston Villa,eng Premier League,25,1997,35,22,2068,23,10,9,19
186,Eric Bailly,ci CIV,DF,Villarreal,es La Liga,29,1994,10,9,839,9.3,0,0,0
187,Stefan Bajcetic,es ESP,MF,Liverpool,eng Premier League,18,2004,1,0,26,0.3,0,0,0
188,Nedim Bajrami,al ALB,"MF,FW",Sassuolo,it Serie A,24,1999,28,15,1310,14.6,2,2,4
189,Cedric Bakambu,cd COD,FW,Betis,es La Liga,32,1991,4,2,194,2.2,0,0,0
190,Tiemoue Bakayoko,fr FRA,MF,Lorient,fr Ligue 1,28,1994,20,15,1314,14.6,2,1,3
191,Mitchel Bakker,nl NED,DF,Atalanta,it Serie A,23,2000,14,3,382,4.2,1,0,1
192,Ridle Baku,de GER,"DF,MF",Wolfsburg,de Bundesliga,25,1998,33,22,2013,22.4,1,0,1
193,Dilane Bakwa,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,20,2002,31,25,2177,24.2,3,6,9
194,Tommaso Baldanzi,it ITA,"MF,FW",Empoli,it Serie A,20,2003,14,8,745,8.3,2,0,2
195,Tommaso Baldanzi,it ITA,"FW,MF",Roma,it Serie A,20,2003,13,6,518,5.8,0,0,0
196,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,19,2003,18,15,1378,15.3,0,1,1
197,George Baldock,gr GRE,DF,Sheffield Utd,eng Premier League,30,1993,13,11,969,10.8,0,1,1
198,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,19,2004,27,15,1325,14.7,0,0,0
199,Carlos Baleba,cm CMR,MF,Lille,fr Ligue 1,19,2004,2,1,61,0.7,0,0,0
200,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,24,1999,27,26,2271,25.2,2,0,2
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
201,Ivan Balliu,al ALB,DF,Rayo Vallecano,es La Liga,31,1992,33,32,2873,31.9,0,1,1
202,Fode Ballo-Toure,sn SEN,"DF,MF",Fulham,eng Premier League,26,1997,6,0,71,0.8,0,0,0
203,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,22,2001,29,19,1692,18.8,7,5,12
204,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,es La Liga,27,1996,27,24,1981,22,3,2,5
205,Mohamed Bamba,ci CIV,FW,Lorient,fr Ligue 1,21,2001,16,14,1138,12.6,8,3,11
206,Samuel Bamba,de GER,FW,Dortmund,de Bundesliga,19,2004,2,0,47,0.5,0,0,0
207,Lameck Banda,zm ZAM,FW,Lecce,it Serie A,22,2001,21,17,1350,15,2,4,6
208,Daniel Bandeira,pt POR,MF,Hellas Verona,it Serie A,23,2000,14,3,446,5,0,0,0
209,Mamady Bangre,bf BFA,"FW,MF",Toulouse,fr Ligue 1,22,2001,8,0,101,1.1,0,1,1
210,Mattia Bani,it ITA,DF,Genoa,it Serie A,29,1993,27,27,2306,25.6,2,0,2
211,Leo Baptistao,br BRA,FW,Almeria,es La Liga,30,1992,32,22,1837,20.4,6,0,6
212,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,25,1998,10,2,229,2.5,1,1,2
213,Antonin Barak,cz CZE,"MF,FW",Fiorentina,it Serie A,28,1994,21,8,808,9,2,3,5
214,Valentin Barco,ar ARG,"DF,FW",Brighton,eng Premier League,19,2004,6,3,307,3.4,0,0,0
215,Bradley Barcola,fr FRA,FW,Lyon,fr Ligue 1,20,2002,3,3,270,3,0,0,0
216,Bradley Barcola,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,20,2002,25,18,1370,15.2,4,7,11
217,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,22,2000,32,31,2654,29.5,1,2,3
218,Nicolo Barella,it ITA,MF,Inter,it Serie A,26,1997,37,34,2846,31.6,2,3,5
219,Kike Barja,es ESP,"FW,MF",Osasuna,es La Liga,26,1997,16,3,303,3.4,0,0,0
220,Ross Barkley,eng ENG,MF,Luton Town,eng Premier League,29,1993,32,30,2618,29.1,5,4,9
221,Aymen Barkok,ma MAR,"MF,FW",Mainz 05,de Bundesliga,25,1998,13,1,321,3.6,1,0,1
222,Harvey Barnes,eng ENG,"FW,MF",Newcastle Utd,eng Premier League,25,1997,21,7,802,8.9,5,3,8
223,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,23,2000,31,29,2606,29,4,1,5
224,Enzo Barrenechea,ar ARG,MF,Frosinone,it Serie A,22,2001,36,32,2811,31.2,0,1,1
225,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,es La Liga,21,2001,29,20,1427,15.9,4,1,5
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
226,Pablo Barrios,es ESP,MF,Atletico Madrid,es La Liga,20,2003,24,17,1555,17.3,0,1,1
227,Davide Bartesaghi,it ITA,"DF,MF",Milan,it Serie A,17,2005,6,0,79,0.9,0,0,0
228,Marc Bartra,es ESP,DF,Betis,es La Liga,32,1991,3,3,225,2.5,0,0,0
229,Federico Baschirotto,it ITA,DF,Lecce,it Serie A,26,1996,37,37,3294,36.6,0,1,1
230,Steven Baseya,fr FRA,DF,Strasbourg,fr Ligue 1,18,2005,2,0,6,0.1,0,0,0
231,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,eng Premier League,35,1988,8,3,321,3.6,0,0,0
232,Toma Basic,hr CRO,MF,Salernitana,it Serie A,26,1996,15,14,1162,12.9,0,0,0
233,Calvin Bassey,ng NGA,DF,Fulham,eng Premier League,23,1999,29,25,2303,25.6,1,0,1
234,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,24,1999,28,28,2268,25.2,1,3,4
235,Simone Bastoni,it ITA,"MF,DF",Empoli,it Serie A,26,1996,16,9,745,8.3,1,0,1
236,Augusto Batalla,ar ARG,GK,Granada,es La Liga,27,1996,17,17,1530,17,0,0,0
237,Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,32,1991,4,4,360,4,0,0,0
238,Maximilian Bauer,de GER,DF,Augsburg,de Bundesliga,23,2000,14,9,810,9,1,0,1
239,Elias Baum,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,17,2005,4,0,28,0.3,0,0,0
240,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,33,1990,34,34,3060,34,0,1,1
241,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,de Bundesliga,23,1999,32,11,1158,12.9,5,1,6
242,Bebe,cv CPV,"MF,FW",Rayo Vallecano,es La Liga,33,1990,19,0,212,2.4,2,0,2
243,Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,de Bundesliga,29,1994,32,16,1636,18.2,7,5,12
244,Mohamed Bechikh,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,18,2005,2,0,14,0.2,0,0,0
245,Adrian Beck,de GER,"MF,FW",Heidenheim,de Bundesliga,26,1997,23,11,974,10.8,1,1,2
246,Owen Beck,wls WAL,DF,Liverpool,eng Premier League,20,2002,1,0,8,0.1,0,0,0
247,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,es La Liga,28,1995,15,8,771,8.6,2,2,4
248,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,de Bundesliga,28,1995,11,7,645,7.2,0,1,1
249,Chris Bedia,ci CIV,"FW,MF",Union Berlin,de Bundesliga,27,1996,7,0,145,1.6,1,0,1
250,Donny van de Beek,nl NED,DF,Manchester Utd,eng Premier League,26,1997,1,0,3,0,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
251,Donny van de Beek,nl NED,"MF,FW",Eint Frankfurt,de Bundesliga,26,1997,8,4,357,4,0,0,0
252,Yanis Begraoui,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2001,14,3,300,3.3,0,0,0
253,Kevin Behrens,de GER,FW,Wolfsburg,de Bundesliga,32,1991,13,7,616,6.8,1,1,2
254,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,32,1991,18,14,1262,14,4,0,4
255,Maximilian Beier,de GER,"FW,MF",Hoffenheim,de Bundesliga,20,2002,33,29,2420,26.9,16,1,17
256,Jeremie Bela,ao ANG,"MF,FW",Clermont Foot,fr Ligue 1,30,1993,12,1,203,2.3,0,0,0
257,Reda Belahyane,fr FRA,MF,Hellas Verona,it Serie A,19,2004,2,1,90,1,0,0,0
258,Reda Belahyane,fr FRA,MF,Nice,fr Ligue 1,19,2004,1,0,27,0.3,0,0,0
259,Amari'i Bell,jm JAM,DF,Luton Town,eng Premier League,29,1994,21,21,1720,19.1,0,0,0
260,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,31,1991,10,8,666,7.4,0,0,0
261,Alaa Bellaarouch,ma MAR,GK,Strasbourg,fr Ligue 1,21,2002,15,15,1350,15,0,0,0
262,Raoul Bellanova,it ITA,DF,Torino,it Serie A,23,2000,37,36,3046,33.8,1,7,8
263,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,eng Premier League,25,1998,22,10,958,10.6,2,1,3
264,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,25,1998,3,3,269,3,2,2,4
265,Hector Bellerin,es ESP,DF,Betis,es La Liga,28,1995,23,20,1711,19,0,1,1
266,Jude Bellingham,eng ENG,MF,Real Madrid,es La Liga,20,2003,28,27,2315,25.7,19,6,25
267,Jeanuel Belocian,fr FRA,DF,Rennes,fr Ligue 1,18,2005,23,16,1448,16.1,0,1,1
268,Andrea Belotti,it ITA,FW,Fiorentina,it Serie A,29,1993,15,11,949,10.5,3,0,3
269,Andrea Belotti,it ITA,FW,Roma,it Serie A,29,1993,14,6,679,7.5,3,2,5
270,Fran Beltran,es ESP,MF,Celta Vigo,es La Liga,24,1999,33,28,2428,27,0,0,0
271,Lucas Beltran,ar ARG,"FW,MF",Fiorentina,it Serie A,22,2001,32,21,1692,18.8,6,2,8
272,Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,fr Ligue 1,18,2005,13,4,428,4.8,2,1,3
273,Anis Ben Slimane,tn TUN,MF,Sheffield Utd,eng Premier League,22,2001,15,4,419,4.7,0,0,0
274,Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,32,1990,32,26,2316,25.7,16,2,18
275,Carlos Benavidez,uy URU,MF,Alaves,es La Liga,25,1998,29,10,1136,12.6,3,1,4
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
276,Ismael Bennacer,dz ALG,MF,Milan,it Serie A,25,1997,20,13,1151,12.8,2,2,4
277,Said Benrahma,dz ALG,"FW,MF",West Ham,eng Premier League,27,1995,13,5,620,6.9,0,1,1
278,Said Benrahma,dz ALG,"FW,MF",Lyon,fr Ligue 1,27,1995,12,10,770,8.6,3,3,6
279,Ramy Bensebaini,dz ALG,DF,Dortmund,de Bundesliga,28,1995,17,11,1033,11.5,0,0,0
280,Nabil Bentaleb,dz ALG,MF,Lille,fr Ligue 1,28,1994,26,23,1967,21.9,0,3,3
281,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,26,1997,23,13,1005,11.2,1,1,2
282,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,30,1993,5,3,383,4.3,0,0,0
283,Lucas Beraldo,br BRA,DF,Paris S-G,fr Ligue 1,19,2003,13,12,1008,11.2,1,0,1
284,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,28,1994,17,17,1431,15.9,9,3,12
285,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,33,1990,27,22,1930,21.4,3,1,4
286,Alex Berenguer,es ESP,FW,Athletic Club,es La Liga,28,1995,35,15,1592,17.7,7,3,10
287,Bartosz Bereszynski,pl POL,DF,Empoli,it Serie A,31,1992,24,22,1762,19.6,0,1,1
288,Johann Berg Gumundsson,is ISL,"MF,FW",Burnley,eng Premier League,32,1990,26,12,1192,13.2,1,3,4
289,Sander Berge,no NOR,MF,Burnley,eng Premier League,25,1998,37,34,3005,33.4,1,2,3
290,Etrit Berisha,al ALB,GK,Empoli,it Serie A,34,1989,14,14,1260,14,0,0,0
291,Medon Berisha,al ALB,"FW,MF",Lecce,it Serie A,19,2003,6,2,205,2.3,0,0,0
292,Mergim Berisha,de GER,FW,Hoffenheim,de Bundesliga,25,1998,6,0,144,1.6,0,0,0
293,Mergim Berisha,de GER,FW,Augsburg,de Bundesliga,25,1998,2,2,122,1.4,0,0,0
294,Isaac Bernal,es ESP,FW,Sevilla,es La Liga,23,2000,14,14,1039,11.5,4,4,8
295,Bernardo,br BRA,DF,Bochum,de Bundesliga,28,1995,33,33,2924,32.5,1,0,1
296,Victor Bernth Kristiansen,dk DEN,DF,Bologna,it Serie A,20,2002,32,26,2307,25.6,0,3,3
297,Matus Bero,sk SVK,"MF,FW",Bochum,de Bundesliga,27,1995,24,20,1661,18.5,1,1,2
298,Luke Berry,eng ENG,"MF,DF",Luton Town,eng Premier League,31,1992,17,2,323,3.6,2,1,3
299,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,25,1998,4,4,360,4,0,0,0
300,Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,de Bundesliga,24,1999,31,31,2603,28.9,8,11,19
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
301,Beto,gw GNB,FW,Everton,eng Premier League,25,1998,30,9,951,10.6,3,0,3
302,Beto,gw GNB,FW,Udinese,it Serie A,25,1998,1,1,74,0.8,0,0,0
303,Davide Bettella,it ITA,MF,Monza,it Serie A,23,2000,1,0,3,0,0,0,0
304,Sam Beukema,nl NED,DF,Bologna,it Serie A,24,1998,30,29,2547,28.3,1,1,2
305,Jordan Beyer,de GER,DF,Burnley,eng Premier League,23,2000,15,15,1234,13.7,0,1,1
306,Pep Biel,es ESP,"MF,FW",Augsburg,de Bundesliga,26,1996,11,0,285,3.2,0,0,0
307,Jaka Bijol,si SVN,DF,Udinese,it Serie A,24,1999,24,23,2084,23.2,0,0,0
308,El Bilal Toure,ml MLI,FW,Atalanta,it Serie A,21,2001,11,3,394,4.4,2,0,2
309,Philip Billing,dk DEN,MF,Bournemouth,eng Premier League,27,1996,29,13,1398,15.5,2,2,4
310,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,30,1992,29,27,2356,26.2,2,5,7
311,Davide Biraschi,it ITA,DF,Genoa,it Serie A,29,1994,1,1,90,1,1,0,1
312,Samuele Birindelli,it ITA,DF,Monza,it Serie A,24,1999,35,22,2013,22.4,0,2,2
313,Tom Bischof,de GER,"MF,FW",Hoffenheim,de Bundesliga,18,2005,13,1,178,2,0,2,2
314,Yves Bissouma,ml MLI,MF,Tottenham,eng Premier League,26,1996,28,26,2068,23,0,0,0
315,Leonardo Bittencourt,de GER,MF,Werder Bremen,de Bundesliga,29,1993,29,19,1578,17.5,1,2,3
316,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,32,1991,32,32,2876,32,0,0,0
317,Antonio Blanco,es ESP,MF,Alaves,es La Liga,23,2000,33,29,2426,27,0,1,1
318,Ruben Blanco,es ESP,GK,Marseille,fr Ligue 1,28,1995,2,1,121,1.3,0,0,0
319,Hendry Blank,de GER,DF,Dortmund,de Bundesliga,18,2004,1,0,45,0.5,0,0,0
320,Ludovic Blas,fr FRA,"FW,MF",Rennes,fr Ligue 1,25,1997,29,18,1563,17.4,4,1,5
321,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,32,1991,21,21,1890,21,0,0,0
322,Alexis Blin,fr FRA,MF,Lecce,it Serie A,26,1996,31,16,1642,18.2,0,2,2
323,Daley Blind,nl NED,DF,Girona,es La Liga,33,1990,34,33,2972,33,1,2,3
324,Myron Boadu,nl NED,FW,Monaco,fr Ligue 1,22,2001,9,0,85,0.9,1,0,1
325,Benicio Boaitey,eng ENG,"FW,DF",Brighton,eng Premier League,19,2004,5,0,40,0.4,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
326,Jerome Boateng,de GER,DF,Salernitana,it Serie A,34,1988,7,4,238,2.6,0,0,0
327,Oscar Bobb,no NOR,"FW,MF",Manchester City,eng Premier League,20,2003,14,2,302,3.4,1,1,2
328,Sacha Boey,fr FRA,DF,Bayern Munich,de Bundesliga,22,2000,2,1,109,1.2,0,0,0
329,Jeremie Boga,ci CIV,FW,Nice,fr Ligue 1,26,1997,28,24,1998,22.2,6,6,12
